#Province id 0 is ignored, hard coded.
0;0;0;0;;x;;;;;;;;;;;;;;;;;
1;115;103;188;Umbar;x;
2;137;197;94;2;x;
3;179;170;55;3;x;
4;176;36;143;4;x;
5;85;15;182;5;x;
6;231;219;182;6;x;
7;246;85;39;7;x;
8;216;197;143;Pellardur;x;
9;36;212;231;Maros;x;
10;209;128;170;Tol Glingal;x;
11;82;179;164;11;x;
12;103;106;216;12;x;
13;179;179;64;13;x;
14;225;109;158;14;x;
15;107;97;162;15;x;
16;115;170;112;16;x;
17;179;100;240;17;x;
18;140;118;203;Barazon;x;
19;134;203;149;19;x;
20;64;203;70;20;x;
21;152;118;21;21;x;
22;216;197;64;Isigir;x;
23;164;128;61;Bar Mardath;x;
24;143;183;137;24;x;
25;197;146;234;Eradas;x;
26;225;203;36;26;x;
27;143;58;200;Karna;x;
28;112;91;52;Caldur;x;
29;67;197;109;29;x;
30;155;200;124;30;x;
31;206;194;94;Numeros;x;
32;185;79;85;Yamag;x;
33;79;219;149;Tol Uralgaen;x;
34;27;118;146;34;x;
35;28;51;186;35;x;
36;75;124;92;36;x;
37;17;240;1;37;x;
38;44;142;205;38;x;
39;46;137;115;39;x;
40;121;58;88;40;x;
41;179;173;188;Dibis;x;
42;212;115;64;Mogurakh;x;
43;155;231;18;43;x;
44;253;179;54;Tharven;x;
45;200;88;61;45;x;
46;231;222;219;46;x;
47;36;246;106;47;x;
48;100;167;24;48;x;
49;76;112;182;49;x;
50;158;24;219;50;x;
51;137;64;58;51;x;
52;239;75;173;Pinnath Gelin;x;
53;79;185;39;53;x;
54;164;158;134;54;x;
55;118;158;88;55;x;
56;152;173;225;56;x;
57;179;82;161;Ureloni;x;
58;185;67;124;Folen;x;
59;85;100;179;59;x;
60;103;143;191;Ardumir;x;
61;118;182;149;61;x;
62;158;115;128;62;x;
63;161;42;36;Dol Annabrith;x;
64;128;121;94;64;x;
65;200;228;109;Khurd;x;
66;197;225;161;66;x;
67;173;73;197;67;x;
68;164;103;152;Dusalan;x;
69;79;185;131;Suk Avaloi;x;
70;212;149;97;Badharkan;x;
71;179;9;97;71;x;
72;121;97;185;72;x;
73;197;43;128;73;x;
74;161;150;108;Narik-Zadar;x;
75;173;64;64;Joam;x;
76;243;36;152;76;x;
77;128;115;179;77;x;
78;61;252;64;78;x;
79;82;194;97;79;x;
80;194;97;39;80;x;
81;182;46;76;Ubulla;x;
82;206;188;67;82;x;
83;85;76;161;83;x;
84;167;21;67;84;x;
85;115;12;124;85;x;
86;94;94;255;86;x;
87;6;79;140;87;x;
88;200;237;115;88;x;
89;170;115;64;Suul-Dhurn;x;
90;67;149;67;Ugant;x;
91;158;73;194;Alnerdira;x;
92;100;6;194;92;x;
93;91;30;118;93;x;
94;182;91;240;94;x;
95;200;55;15;95;x;
96;240;164;112;Eithel Angir;x;
97;76;194;124;Kas Shafra;x;
98;19;7;203;Has Adri;x;
99;154;118;110;An Tarim;x;
100;158;100;79;Szrel-Kain;x;
101;70;124;191;Szrel-Arkasa;x;
102;155;147;177;Riavod;x;
103;179;103;155;Andarimn;x;
104;131;73;191;Lostarfarn;x;
105;137;225;185;105;x;
